GEOID,NAME,totalE,totalM,nativeE,nativeM,foreign_bornE,foreign_bornM
"24005450900","Census Tract 4509, Baltimore County, Maryland",3906,175,3764,248,142,113
"24005451100","Census Tract 4511, Baltimore County, Maryland",2176,161,2041,157,135,50
"24005451500","Census Tract 4515, Baltimore County, Maryland",3987,460,3940,455,47,41
"24005451702","Census Tract 4517.02, Baltimore County, Maryland",1832,127,1832,127,0,12
"24005452000","Census Tract 4520, Baltimore County, Maryland",2399,173,2366,170,33,56
"24005491900","Census Tract 4919, Baltimore County, Maryland",1983,193,1688,171,295,171
"24005491402","Census Tract 4914.02, Baltimore County, Maryland",3521,342,2980,334,541,317
"24005400900","Census Tract 4009, Baltimore County, Maryland",2160,201,1814,159,346,143
"24005440500","Census Tract 4405, Baltimore County, Maryland",3013,181,2791,199,222,139
"24005401000","Census Tract 4010, Baltimore County, Maryland",2752,389,2683,389,69,49
"24005401400","Census Tract 4014, Baltimore County, Maryland",1690,123,1609,129,81,29
"24005403300","Census Tract 4033, Baltimore County, Maryland",2352,176,1934,181,418,194
"24005402305","Census Tract 4023.05, Baltimore County, Maryland",2197,184,1597,170,600,168
"24005402603","Census Tract 4026.03, Baltimore County, Maryland",6071,603,5331,526,740,392
"24005403202","Census Tract 4032.02, Baltimore County, Maryland",1997,186,1824,173,173,82
"24005403803","Census Tract 4038.03, Baltimore County, Maryland",3274,206,2758,206,516,158
"24005404202","Census Tract 4042.02, Baltimore County, Maryland",9764,666,7811,674,1953,569
"24005403100","Census Tract 4031, Baltimore County, Maryland",2372,238,2228,250,144,90
"24005404501","Census Tract 4045.01, Baltimore County, Maryland",6970,529,5886,550,1084,336
"24510190100","Census Tract 1901, Baltimore city, Maryland",1944,266,1780,235,164,186
"24510190200","Census Tract 1902, Baltimore city, Maryland",2028,351,1727,337,301,129
"24510220100","Census Tract 2201, Baltimore city, Maryland",4351,372,4165,391,186,95
"24510230300","Census Tract 2303, Baltimore city, Maryland",1122,138,1091,137,31,23
"24510250207","Census Tract 2502.07, Baltimore city, Maryland",2226,202,2011,217,215,96
"24510250303","Census Tract 2503.03, Baltimore city, Maryland",2126,254,1807,227,319,156
"24510260202","Census Tract 2602.02, Baltimore city, Maryland",5811,606,4970,602,841,368
"24510120201","Census Tract 1202.01, Baltimore city, Maryland",1979,180,1730,172,249,106
"24510272004","Census Tract 2720.04, Baltimore city, Maryland",4524,412,3589,319,935,419
"24510120202","Census Tract 1202.02, Baltimore city, Maryland",6662,1036,5062,993,1600,494
"24510272005","Census Tract 2720.05, Baltimore city, Maryland",3310,328,2925,351,385,130
"24510272006","Census Tract 2720.06, Baltimore city, Maryland",4161,359,3495,401,666,279
"24510272007","Census Tract 2720.07, Baltimore city, Maryland",4958,598,3749,612,1209,425
"24510280500","Census Tract 2805, Baltimore city, Maryland",2599,349,2552,355,47,68
"24510020100","Census Tract 201, Baltimore city, Maryland",1953,254,1730,183,223,178
"24510060100","Census Tract 601, Baltimore city, Maryland",2857,418,2310,334,547,269
"24510090200","Census Tract 902, Baltimore city, Maryland",3302,304,3173,302,129,88
"24510090600","Census Tract 906, Baltimore city, Maryland",3259,578,3233,574,26,40
"24510090900","Census Tract 909, Baltimore city, Maryland",2382,428,2372,428,10,14
"24510100100","Census Tract 1001, Baltimore city, Maryland",2238,230,2233,229,5,7
"24510150100","Census Tract 1501, Baltimore city, Maryland",3397,414,3362,401,35,60
"24510150900","Census Tract 1509, Baltimore city, Maryland",3008,437,2906,450,102,74
"24510200400","Census Tract 2004, Baltimore city, Maryland",1655,195,1600,181,55,41
"24510200500","Census Tract 2005, Baltimore city, Maryland",3204,576,2872,501,332,230
"24005400200","Census Tract 4002, Baltimore County, Maryland",2539,203,2367,189,172,118
"24005400800","Census Tract 4008, Baltimore County, Maryland",2658,334,2361,266,297,204
"24005401504","Census Tract 4015.04, Baltimore County, Maryland",6574,510,5666,484,908,427
"24005402304","Census Tract 4023.04, Baltimore County, Maryland",3980,439,3417,363,563,243
"24005402404","Census Tract 4024.04, Baltimore County, Maryland",5262,512,4840,469,422,231
"24005420600","Census Tract 4206, Baltimore County, Maryland",4300,495,3972,457,328,287
"24005411202","Census Tract 4112.02, Baltimore County, Maryland",3522,292,3357,283,165,96
"24005411307","Census Tract 4113.07, Baltimore County, Maryland",3871,313,3151,301,720,237
"24005420401","Census Tract 4204.01, Baltimore County, Maryland",6274,756,5732,749,542,267
"24005421102","Census Tract 4211.02, Baltimore County, Maryland",2202,169,2144,169,58,34
"24005430700","Census Tract 4307, Baltimore County, Maryland",5465,419,5076,469,389,241
"24005430800","Census Tract 4308, Baltimore County, Maryland",3522,309,3304,319,218,123
"24005441101","Census Tract 4411.01, Baltimore County, Maryland",2200,196,2033,193,167,90
"24005451200","Census Tract 4512, Baltimore County, Maryland",3510,250,3405,258,105,71
"24510200800","Census Tract 2008, Baltimore city, Maryland",2203,295,2107,296,96,49
